"ID","Type","Name","Documentation","Specialization"
"id-d467999d0395424ebf74310bd253efb9","ArchimateModel","archi-ea-app","",""
"id-1343aba46eaf44dda7506ea8aaf6f0a1","BusinessProcess","Commit and Publish","",""
"id-3ced036b1b754c2893e89f3c2e4af671","BusinessRole","Enterprise Architect","",""
"id-e36f2c8e7fae443daeab8c8e2b94b57a","ApplicationComponent","Archi","",""
"id-224e7d01e66348f5b59e93bd45e75476","ApplicationComponent","GitHub","",""
"id-240241d14628451db3199adb4e59e1e4","ApplicationComponent","GitHub Actions","",""
"id-110afcdc3023443e97b0f75baa181027","ApplicationEvent","Commit and Comment","",""
"id-fea2357c1e7e4240b516f944e738b3a8","ApplicationEvent","New Data Files Present","",""
"id-001ad3bd09b64c89b04048b812ba648d","ApplicationEvent","Publish to Repository","",""
"id-ee706899601b4a338b0ebbb58aff015d","ApplicationFunction","Create Bucket","",""
"id-bd5edd4962334f05a634f84bc3944847","ApplicationFunction","Delete Bucket","",""
"id-9661feb966e94ba78ef5780b078e7ef3","ApplicationFunction","Move data to Database","",""
"id-41227b254e9a4096a91e41cbbbf92256","ApplicationInteraction","Confirm Data Present in DB","",""
"id-8a137f4ca3374230aab6fec650115847","ApplicationService","Move data to Database","",""
"id-a75e717937b446008b1ab2ad991cf5fe","DataObject","Archi EA Data","",""
"id-b55ab4a9655f46ee9b29886c665923bb","Node","GitHub","",""
"id-4aa8ad0d087747ce82e9806192dd8246","Node","Google Public Cloud","",""
"id-20e3455b205d4a9fa97416d298fb68a7","SystemSoftware","Cloud SQL","",""
"id-6487f4af920541189fa215156f25a356","TechnologyInterface","Cloud Storage API","",""
"id-3f6c7ecacacc4f4daba281396bce5453","TechnologyInterface","SQL API","",""
"id-f6c0207b5a934c7798fe0ac54257619d","TechnologyService","Bucket","",""
"id-c8dae4de4cf945eb93887181aeb550d0","TechnologyService","Cloud Run Functions","",""
"id-13dae548b41c484bbfb7d1b3b1868633","TechnologyService","SQL Service","",""