"ID","Key","Value"
"id-09f3d31e607b474fa5dc5118b79e1321","Directed","false"
"id-e63450100dbc4a7085390c1937d9fb4f","Directed","false"
"id-6b5fe75b3f9f4699a40035880951edd7","Access_Type","Write"
"id-6be564305c1d4f77a6e13ce288fc66e2","Access_Type","Write"
"id-efd3164e09a64a7a99b55262e46de962","Access_Type","Write"
"id-9ef48118e7814592a3f8dd39eee1b6e9","Access_Type","Write"
"id-a08565c1003e42f08a45f7e4a9b1735e","Access_Type","Write"
"id-46d140785b674e0799fc941900a2a7e9","Access_Type","Write"
"id-d8e00410776b4b459153bedb8615d4c3","Access_Type","Write"
"id-84a557d918154d28ab142c02cda1f90b","Access_Type","Write"
"id-8261fbaaf8e84c36b47ba61b9a1d1550","Access_Type","Write"
"id-63ff66604f8d4b7cb5d82842abaec4ab","Access_Type","Write"
"id-1cba2cb6c59c4d7dabf7251d7aa66d9a","Access_Type","Write"
"id-fb15a32d8ca34ed3ae1fc6cfdbf3fd7c","Access_Type","Write"
"id-010bdab4ba0e4cb0b4d44efd0f11729e","Access_Type","Write"
"id-a2af5a5aeabf44ebb788b382cea5a4de","Access_Type","Write"
"id-45e15d004a394525a85f7bbbeedc7508","Access_Type","Write"